iter	Passed	Remaining
0	57	57748
1	58	29096
2	58	19489
3	59	14696
4	59	11811
5	59	9899
6	60	8524
7	60	7493
8	60	6691
9	61	6053
10	61	5528
11	61	5094
12	62	4722
13	62	4403
14	62	4129
15	63	3892
16	63	3680
17	64	3496
18	64	3334
19	65	3185
20	65	3046
21	65	2919
22	66	2808
23	66	2704
24	66	2604
25	67	2522
26	67	2441
27	68	2371
28	68	2302
29	69	2236
30	69	2182
31	70	2125
32	70	2074
33	71	2029
34	71	1984
35	72	1937
36	72	1895
37	73	1857
38	73	1819
39	74	1799
40	75	1761
41	75	1723
42	75	1688
43	76	1655
44	76	1627
45	77	1597
46	77	1567
47	77	1540
48	77	1513
49	78	1488
50	78	1463
51	78	1438
52	79	1415
53	79	1393
54	79	1372
55	80	1351
56	80	1331
57	80	1313
58	81	1294
59	81	1275
60	81	1259
61	82	1243
62	83	1238
63	83	1222
64	83	1206
65	84	1192
66	84	1177
67	84	1160
68	85	1146
69	85	1133
70	85	1119
71	86	1109
72	86	1097
73	86	1085
74	87	1073
75	87	1068
76	88	1057
77	88	1046
78	89	1038
79	89	1028
80	89	1018
81	90	1008
82	90	998
83	90	988
84	90	977
85	91	968
86	91	957
87	91	949
88	91	940
89	92	932
90	92	924
91	93	917
92	93	910
93	94	906
94	94	898
95	94	891
96	94	883
97	95	876
98	95	870
99	96	864
100	96	857
101	96	849
102	96	844
103	97	839
104	97	833
105	98	826
106	98	823
107	98	817
108	99	811
109	99	805
110	99	799
111	100	793
112	100	787
113	100	782
114	100	776
115	101	770
116	101	765
117	101	759
118	101	754
119	102	749
120	102	744
121	102	739
122	102	733
123	103	728
124	103	724
125	103	719
126	104	715
127	104	710
128	105	710
129	105	705
130	105	702
131	106	697
132	106	693
133	113	736
134	114	731
135	114	727
136	114	723
137	115	718
138	115	714
139	115	710
140	117	716
141	117	712
142	118	708
143	118	704
144	118	701
145	119	697
146	119	693
147	120	690
148	120	690
149	121	687
150	121	683
151	121	680
152	122	677
153	122	674
154	123	670
155	123	667
156	123	664
157	124	661
158	124	657
159	124	654
160	124	651
161	125	647
162	125	644
163	125	641
164	126	638
165	126	635
166	126	632
167	127	628
168	127	625
169	128	626
170	128	624
171	129	621
172	129	618
173	129	615
174	130	612
175	130	610
176	130	607
177	131	605
178	131	602
179	131	599
180	131	596
181	132	593
182	132	590
183	132	588
184	133	586
185	133	583
186	133	581
187	134	579
188	134	576
189	134	573
190	134	571
191	135	569
192	135	566
193	135	564
194	136	561
195	136	559
196	136	557
197	136	554
198	137	552
199	137	550
200	137	547
201	138	545
202	138	543
203	138	541
204	139	539
205	149	575
206	149	573
207	149	571
208	150	568
209	150	566
210	150	563
211	151	561
212	151	559
213	151	557
214	151	554
215	152	552
216	152	550
217	152	547
218	153	545
219	153	543
220	153	542
221	154	539
222	154	537
223	154	535
224	154	533
225	155	531
226	155	529
227	155	527
228	156	525
229	156	523
230	156	521
231	156	519
232	157	517
233	157	515
234	157	513
235	157	511
236	158	509
237	158	507
238	158	505
239	159	504
240	159	502
241	159	500
242	160	498
243	160	496
