iter	Passed	Remaining
0	58	58447
1	58	29395
2	59	19718
3	59	14857
4	60	11969
5	60	10021
6	61	8672
7	61	7628
8	61	6816
9	62	6161
10	62	5624
11	62	5176
12	63	4812
13	64	4519
14	64	4242
15	64	3993
16	65	3778
17	65	3586
18	66	3409
19	66	3250
20	66	3107
21	66	2976
22	67	2858
23	67	2750
24	68	2658
25	68	2565
26	68	2480
27	69	2406
28	69	2335
29	70	2281
30	70	2215
31	71	2162
32	71	2105
33	72	2050
34	72	1997
35	72	1951
36	73	1904
37	73	1860
38	73	1818
39	74	1778
40	74	1740
41	74	1706
42	75	1679
43	75	1647
44	76	1616
45	76	1586
46	76	1558
47	77	1540
48	77	1513
49	78	1489
50	78	1469
51	79	1447
52	79	1424
53	80	1402
54	80	1381
55	80	1362
56	81	1343
57	81	1323
58	81	1304
59	82	1286
60	82	1269
61	82	1252
62	83	1238
63	83	1224
64	84	1217
65	85	1204
66	85	1189
67	85	1175
68	86	1161
69	86	1149
70	86	1136
71	87	1123
72	88	1119
73	88	1107
74	88	1095
75	89	1083
76	89	1072
77	89	1060
78	90	1050
79	90	1039
80	90	1028
81	90	1018
82	91	1007
83	91	997
84	91	987
85	92	979
86	92	970
87	92	961
88	93	953
89	93	944
90	93	936
91	94	928
92	94	920
93	94	912
94	94	904
95	95	897
96	95	890
97	96	883
98	96	876
99	96	869
100	97	864
101	97	857
102	98	855
103	98	849
104	98	843
105	99	837
106	99	831
107	99	824
108	100	818
109	100	813
110	101	811
111	101	805
112	102	802
113	102	797
114	102	792
115	103	787
116	103	781
117	103	776
118	104	771
119	104	766
120	104	761
121	105	755
122	105	750
123	105	746
124	105	741
125	106	737
126	106	732
127	106	727
128	107	723
129	107	719
130	107	714
131	108	715
132	109	712
133	109	708
134	110	704
135	110	701
136	110	696
137	111	693
138	111	690
139	111	687
140	112	684
141	112	680
142	112	676
143	113	673
144	113	669
145	113	665
146	114	662
147	114	658
148	114	655
149	115	651
150	115	648
151	115	645
152	115	641
153	116	638
154	116	635
155	116	632
156	117	629
157	117	626
158	117	623
159	118	620
160	118	616
161	118	613
162	118	610
163	119	607
164	119	604
165	119	601
166	120	598
167	120	597
168	121	595
169	121	593
170	121	591
171	122	588
172	122	585
173	122	583
174	123	580
175	123	577
176	123	575
177	124	573
178	124	572
179	125	570
180	125	568
181	125	566
182	126	563
183	126	561
184	126	559
185	127	556
186	127	554
187	127	552
188	128	550
189	128	547
190	128	545
191	129	543
192	129	541
193	129	539
194	130	536
195	130	534
196	130	532
197	130	530
198	131	528
199	131	526
200	132	525
201	132	524
202	133	522
203	133	520
204	133	518
205	134	516
206	134	514
207	134	512
208	135	511
209	135	509
210	135	507
211	136	505
212	136	503
213	136	502
214	137	500
215	137	498
216	137	496
217	138	496
218	138	494
219	139	493
220	139	491
221	139	489
222	140	488
223	140	486
224	140	485
225	141	483
226	141	482
227	142	480
228	142	479
229	142	477
230	143	476
231	143	474
232	143	473
233	144	471
234	144	469
235	144	468
236	145	468
237	146	467
238	146	465
239	146	464
240	147	463
241	147	461
242	147	460
243	148	459
244	148	458
245	149	456
246	149	455
247	149	453
248	149	452
249	150	450
250	150	449
251	150	448
252	151	446
253	151	445
254	151	443
255	152	442
256	152	441
257	152	439
258	153	438
259	153	437
260	153	435
261	154	434
262	154	432
263	154	431
264	155	430
265	155	428
266	155	427
267	155	425
268	156	424
269	156	423
270	156	421
271	157	420
272	157	419
273	157	418
274	158	416
275	158	415
276	158	414
277	159	413
278	159	411
279	159	410
280	159	409
281	160	408
282	160	407
283	161	406
284	161	405
285	161	404
286	162	403
287	162	402
288	163	401
289	163	399
290	163	398
291	163	397
292	164	396
293	164	395
294	164	394
295	165	392
296	165	391
297	165	390
298	166	389
299	166	388
300	166	387
301	166	385
302	167	384
303	167	383
304	167	382
305	168	381
306	168	380
307	168	379
308	169	378
309	169	376
310	169	376
311	170	375
312	170	374
313	170	373
314	171	372
315	171	371
316	171	370
317	172	369
318	172	368
319	172	367
320	173	366
321	173	365
322	173	364
323	174	363
324	174	362
325	174	361
326	175	360
327	175	359
328	175	358
329	176	357
330	176	356
331	176	355
332	177	354
333	177	353
334	177	353
335	178	352
336	178	351
337	179	350
338	179	349
339	179	348
340	179	347
341	180	346
342	181	347
343	181	346
344	182	346
345	183	345
346	183	344
347	183	344
348	183	343
349	184	342
350	184	341
351	184	340
352	185	339
353	185	338
354	185	337
355	186	337
356	186	336
357	187	335
358	187	334
359	187	333
360	187	332
361	188	332
362	188	331
363	189	330
364	189	329
365	189	328
366	189	327
367	190	326
368	190	325
369	190	324
370	191	324
371	191	323
372	191	322
373	191	321
374	192	320
375	192	319
376	192	318
377	193	317
378	193	316
379	193	316
380	194	315
381	194	314
382	194	314
383	195	313
384	195	312
385	195	311
386	196	310
387	196	310
388	196	309
389	197	308
390	197	307
391	197	306
392	198	305
393	198	305
394	198	304
395	199	303
396	199	302
397	199	301
398	199	301
399	200	300
400	200	299
401	200	298
402	201	297
403	201	297
404	201	296
405	201	295
406	202	294
407	202	293
408	202	293
409	203	292
410	203	291
411	203	290
412	204	290
413	204	289
414	204	288
415	204	287
416	205	287
417	205	286
418	205	285
419	206	284
420	206	284
421	207	283
422	207	283
423	207	282
424	208	281
425	208	280
426	208	280
427	209	279
428	209	279
429	210	278
430	210	277
431	210	277
432	211	276
433	211	275
434	211	274
435	212	274
436	212	273
437	212	272
438	212	272
439	213	271
440	213	270
441	213	270
442	214	269
443	214	268
444	214	267
445	215	267
446	215	266
447	215	265
448	216	265
449	216	264
450	216	263
451	217	264
452	218	263
453	218	262
454	218	262
455	219	261
456	219	260
457	219	260
458	220	259
459	220	259
460	220	258
461	221	257
462	221	256
463	222	256
464	222	256
465	222	255
466	223	254
467	223	254
468	223	253
469	224	252
470	224	252
471	224	251
472	225	250
473	225	250
474	225	249
475	225	248
476	226	248
477	226	247
478	226	246
479	227	246
480	227	245
481	227	244
482	228	244
483	228	243
484	228	242
485	229	242
486	229	241
487	229	240
488	229	240
489	230	239
490	230	239
491	231	238
492	231	238
493	231	237
494	232	236
495	232	236
496	232	235
497	233	235
498	233	234
499	234	234
500	234	233
501	234	232
502	235	232
503	235	231
504	235	230
505	235	230
506	236	229
507	236	229
508	236	228
509	237	227
510	237	227
511	237	226
512	238	226
513	238	225
514	238	224
515	239	224
516	239	223
517	239	222
518	239	222
519	240	221
520	240	221
521	240	220
522	241	219
523	241	219
524	241	218
525	242	218
526	242	217
527	243	217
528	243	216
529	243	216
530	244	215
531	244	215
532	245	214
533	245	214
534	246	213
535	246	213
536	246	212
537	247	212
538	247	211
539	247	211
540	248	210
541	248	210
542	248	209
543	249	208
544	249	208
545	249	207
546	250	207
547	250	206
548	250	205
549	250	205
550	251	204
551	251	204
552	251	203
553	252	202
554	252	202
555	252	201
556	253	201
557	253	200
558	253	200
559	254	199
560	254	199
561	255	198
562	255	198
563	255	197
564	256	197
565	256	196
566	256	196
567	257	195
568	257	195
569	258	194
570	258	194
571	258	193
572	259	193
573	259	192
574	259	191
575	260	191
576	260	191
577	260	190
578	261	189
579	261	189
580	261	188
581	262	188
582	262	187
583	262	187
584	263	186
585	263	186
586	263	185
587	263	184
588	264	184
589	264	183
590	264	183
591	265	182
592	265	182
593	265	181
594	266	181
595	266	180
596	266	180
597	266	179
598	267	178
599	267	178
600	267	177
601	268	177
602	268	176
603	269	176
604	269	175
605	269	175
606	270	174
607	270	174
608	270	173
609	271	173
610	271	172
611	271	172
612	272	172
613	272	171
614	273	170
615	273	170
616	273	169
617	274	169
618	274	168
619	274	168
620	274	167
621	275	167
622	275	166
623	275	166
624	276	165
625	276	165
626	276	164
627	276	164
628	277	163
629	277	162
630	277	162
631	278	161
632	278	161
633	278	160
634	278	160
635	279	159
636	279	159
637	279	158
638	280	158
639	280	157
640	280	157
641	281	156
642	281	156
643	282	155
644	282	155
645	282	154
646	283	154
647	283	154
648	284	153
649	284	153
650	285	152
651	285	152
652	285	151
653	286	151
654	286	150
655	286	150
656	286	149
657	287	149
658	287	148
659	287	148
660	288	147
661	288	147
662	288	146
663	289	146
664	289	145
665	289	145
666	290	144
667	290	144
668	290	143
669	290	143
670	291	142
671	291	142
672	291	141
673	292	141
674	292	140
675	293	140
676	293	140
677	293	139
678	294	139
679	294	138
680	294	138
681	295	137
682	295	137
683	295	136
684	296	136
685	296	135
686	297	135
687	297	134
688	297	134
689	298	133
690	298	133
691	298	133
692	299	132
693	299	132
694	299	131
695	300	131
696	300	130
697	300	130
698	300	129
699	301	129
700	301	128
701	301	128
702	302	127
703	302	127
704	302	126
705	303	126
706	303	125
707	303	125
708	304	124
709	304	124
710	304	123
711	305	123
712	306	123
713	306	122
714	306	122
715	307	121
716	307	121
717	307	120
718	308	120
719	308	119
720	308	119
721	309	119
722	309	118
723	310	118
724	310	117
725	310	117
726	311	116
727	311	116
728	311	115
729	312	115
730	312	114
731	312	114
732	313	114
733	313	113
734	313	113
735	314	112
736	314	112
737	314	111
738	314	111
739	315	110
740	315	110
741	315	109
742	316	109
743	316	108
744	316	108
745	317	107
746	317	107
747	318	107
748	318	106
749	318	106
750	319	105
751	319	105
752	319	104
753	320	104
754	320	103
755	320	103
756	321	103
757	321	102
758	321	102
759	322	101
760	322	101
761	322	100
762	323	100
763	323	99
764	323	99
765	323	98
766	324	98
767	324	98
768	324	97
769	325	97
770	325	96
771	325	96
772	326	95
773	326	95
774	326	94
775	327	94
776	327	93
777	327	93
778	328	93
779	328	92
780	328	92
781	329	91
782	329	91
783	330	90
784	330	90
785	331	90
786	331	89
787	331	89
788	332	88
789	332	88
790	332	87
791	333	87
792	333	87
793	334	86
794	334	86
795	335	85
796	335	85
797	335	85
798	336	84
799	336	84
800	336	83
801	337	83
802	337	82
803	337	82
804	338	81
805	338	81
806	338	81
807	339	80
808	339	80
809	339	79
810	340	79
811	340	78
812	340	78
813	341	77
814	341	77
815	342	77
816	342	76
817	343	76
818	343	75
819	343	75
820	344	75
821	344	74
822	344	74
823	345	73
824	345	73
825	345	72
826	346	72
827	347	72
828	347	71
829	347	71
830	348	70
831	348	70
832	348	69
833	349	69
834	349	69
835	349	68
836	350	68
837	350	67
838	350	67
839	350	66
840	351	66
841	351	65
842	351	65
843	352	65
844	352	64
845	352	64
846	353	63
847	353	63
848	353	62
849	353	62
850	354	62
851	354	61
852	355	61
853	355	60
854	355	60
855	356	59
856	356	59
857	356	59
858	357	58
859	357	58
860	357	57
861	358	57
862	358	56
863	359	56
864	359	56
865	359	55
866	359	55
867	360	54
868	360	54
869	360	53
870	361	53
871	361	53
872	361	52
873	362	52
874	362	51
875	363	51
876	363	50
877	364	50
878	364	50
879	364	49
880	365	49
881	365	48
882	366	48
883	366	48
884	366	47
885	367	47
886	367	46
887	368	46
888	368	46
889	369	45
890	370	45
891	370	44
892	370	44
893	371	44
894	371	43
895	372	43
896	372	42
897	372	42
898	373	41
899	373	41
900	374	41
901	374	40
902	374	40
903	374	39
904	375	39
905	375	38
906	375	38
907	376	38
908	376	37
909	377	37
910	377	36
911	378	36
912	379	36
913	380	35
914	380	35
915	380	34
916	380	34
917	381	34
918	381	33
919	381	33
920	382	32
921	382	32
922	383	31
923	383	31
924	383	31
925	384	30
926	384	30
927	384	29
928	385	29
929	385	29
930	385	28
931	386	28
932	387	27
933	387	27
934	387	26
935	388	26
936	389	26
937	389	25
938	389	25
939	390	24
940	390	24
941	390	24
942	391	23
943	391	23
944	391	22
945	392	22
946	392	21
947	392	21
948	392	21
949	393	20
950	393	20
951	393	19
952	394	19
953	394	19
954	394	18
955	395	18
956	395	17
957	395	17
958	396	16
959	396	16
960	396	16
961	397	15
962	397	15
963	397	14
964	398	14
965	398	14
966	398	13
967	398	13
968	399	12
969	399	12
970	399	11
971	400	11
972	400	11
973	401	10
974	402	10
975	402	9
976	402	9
977	403	9
978	403	8
979	404	8
980	404	7
981	404	7
982	405	7
983	405	6
984	405	6
985	406	5
986	406	5
987	406	4
988	406	4
989	407	4
990	407	3
991	407	3
992	408	2
993	408	2
994	408	2
995	409	1
996	409	1
997	409	0
998	409	0
999	410	0
